"id","film.person","film.href","film","film.person.href","award","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age","wga","eddie","Hot","Dark","Ethnicity","Sexuality","Nationality","fall","white","black","american","british","R.rated","critic"
"Munich Best Director","Steven Spielberg","http://www.imdb.com/title/tt0408306/","Munich","http://www.imdb.com/name/nm0000229/","Best Director",2006,0,10,3,16,24,164,1,0,1,0,0,"December",0,0,0,0,0,1,1,1,1,47.403685,70,"R",1,60,0,0,0,1,"White","Straight","United States",1,1,0,1,0,1,0
"Munich Best Picture",NA,"http://www.imdb.com/title/tt0408306/","Munich",NA,"Best Picture",2006,0,NA,NA,16,24,164,1,0,1,0,0,"December",0,0,0,0,0,1,1,1,1,47.403685,70,"R",1,NA,0,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,1,0
"Murder on the Orient Express Best Actor","Albert Finney","http://www.imdb.com/title/tt0071877/","Murder on the Orient Express","http://www.imdb.com/name/nm0001215/","Best Actor",1975,0,1,0,8,16,128,1,0,0,0,0,"November",0,0,0,NA,0,1,0,0,0,27.634716,NA,"PG",1,39,0,0,0,0,"White","Straight","Great Britain",1,1,0,0,1,0,NA
"Murder on the Orient Express Best Supporting Actress","Ingrid Bergman","http://www.imdb.com/title/tt0071877/","Murder on the Orient Express","http://www.imdb.com/name/nm0000006/","Best Supporting Actress",1975,1,5,2,8,16,128,1,0,0,0,0,"November",0,1,0,NA,0,1,0,0,0,27.634716,NA,"PG",1,60,0,0,0,0,"White","Straight","Sweden",1,1,0,0,0,0,NA
"Murphy's Romance Best Actor","James Garner","http://www.imdb.com/title/tt0089643/","Murphy's Romance","http://www.imdb.com/name/nm0001258/","Best Actor",1986,0,0,0,2,NA,107,1,1,0,1,0,"December",0,0,0,NA,0,0,0,0,0,30.867525,NA,"PG-13",1,58,0,0,0,0,"White","Straight","United States",1,1,0,1,0,0,NA
"Music Box Best Actress","Jessica Lange","http://www.imdb.com/title/tt0100211/","Music Box","http://www.imdb.com/name/nm0001448/","Best Actress",1990,0,4,1,1,2,124,1,0,0,0,0,"December",0,0,0,NA,0,0,0,0,0,6.263883,NA,"PG-13",0,41,0,0,0,1,"White","Straight","United States",1,1,0,1,0,0,NA
"Music of the Heart Best Actress","Meryl Streep","http://www.imdb.com/title/tt0166943/","Music of the Heart","http://www.imdb.com/name/nm0000658/","Best Actress",2000,0,11,2,5,9,124,1,0,0,0,0,"October",1,0,0,0,0,0,0,0,0,14.859394,27,"PG",0,51,0,0,0,0,"White","Straight","United States",0,1,0,1,0,0,0
"My Cousin Vinny Best Supporting Actress","Marisa Tomei","http://www.imdb.com/title/tt0104952/","My Cousin Vinny","http://www.imdb.com/name/nm0000673/","Best Supporting Actress",1993,1,0,0,3,2,120,0,1,0,0,0,"March",0,0,0,NA,0,0,0,0,0,52.929168,11,"R",0,29,0,0,0,0,"White","Straight","United States",0,1,0,1,0,1,NA
"My Favorite Year Best Actor","Peter O'Toole","http://www.imdb.com/title/tt0084370/","My Favorite Year","http://www.imdb.com/name/nm0000564/","Best Actor",1983,0,6,0,5,4,92,0,1,0,0,0,"October",0,0,0,NA,0,0,0,0,0,20.12362,NA,"PG",0,51,0,0,0,0,"White","Straight","Ireland",0,1,0,0,0,0,NA
"My Left Foot Best Actor","Daniel Day-Lewis","http://www.imdb.com/title/tt0097937/","My Left Foot","http://www.imdb.com/name/nm0000358/","Best Actor",1990,1,0,0,23,14,103,1,0,1,0,0,"November",1,1,0,NA,0,1,0,1,1,14.743391,NA,"R",1,33,0,0,1,0,"White","Straight","Ireland",1,1,0,0,0,1,NA
"My Left Foot Best Director","Jim Sheridan","http://www.imdb.com/title/tt0097937/","My Left Foot","http://www.imdb.com/name/nm0006487/","Best Director",1990,0,0,0,23,14,103,1,0,1,0,0,"November",1,0,0,NA,0,1,0,1,1,14.743391,NA,"R",1,41,0,0,1,0,"White","Straight","Ireland",1,1,0,0,0,1,NA
"My Left Foot Best Picture",NA,"http://www.imdb.com/title/tt0097937/","My Left Foot",NA,"Best Picture",1990,0,NA,NA,23,14,103,1,0,1,0,0,"November",1,0,0,NA,0,1,0,1,1,14.743391,NA,"R",1,NA,0,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"My Left Foot Best Supporting Actress","Brenda Fricker","http://www.imdb.com/title/tt0097937/","My Left Foot","http://www.imdb.com/name/nm0002084/","Best Supporting Actress",1990,1,0,0,23,14,103,1,0,1,0,0,"November",1,0,0,NA,0,1,0,1,1,14.743391,NA,"R",1,45,0,0,1,0,"White","Straight","Ireland",1,1,0,0,0,1,NA
"My Life as a Dog Best Director","Lasse Hallström","http://www.imdb.com/title/tt0089606/","My Life as a Dog","http://www.imdb.com/name/nm0002120/","Best Director",1988,0,NA,NA,15,2,101,1,1,0,0,0,"March",1,0,0,NA,0,1,0,1,0,8.345266,NA,"Unrated",1,42,0,0,0,0,"White","Straight","Sweden",0,1,0,0,0,0,NA
"My Week with Marilyn Best Actress","Michelle Williams","http://www.imdb.com/title/tt1655420/","My Week with Marilyn","http://www.imdb.com/name/nm0931329/","Best Actress",2012,0,2,0,18,37,99,1,0,1,0,0,"November",0,0,0,0,0,0,0,0,0,14.600347,NA,"R",1,32,0,0,0,0,"Black","Straight","United States",1,0,1,1,0,1,0
