"film.person.href","film.href","film","id","award","film.person","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age"
NA,"http://www.imdb.com/title/tt0421715/","The Curious Case of Benjamin Button","The Curious Case of Benjamin Button Best Picture","Best Picture",NA,2009,0,NA,NA,42,81,166,1,0,0,1,0,"December",0,0,0,0,0,1,1,1,1,127.509326,150,"PG-13",0,NA
NA,"http://www.imdb.com/title/tt0065724/","Five Easy Pieces","Five Easy Pieces Best Picture","Best Picture",NA,1971,0,NA,NA,20,11,98,1,0,0,0,0,"September",0,0,0,NA,0,1,0,0,1,NA,NA,"R",0,NA
NA,"http://www.imdb.com/title/tt1019452/","A Serious Man","A Serious Man Best Picture","Best Picture",NA,2010,0,NA,NA,20,39,106,1,1,0,0,0,"October",1,0,0,0,0,1,0,0,1,9.228768,7,"R",0,NA
NA,"http://www.imdb.com/title/tt0433383/","Good Night, and Good Luck.","Good Night, and Good Luck. Best Picture","Best Picture",NA,2006,0,NA,NA,41,65,93,1,0,1,0,0,"October",0,0,0,0,0,1,0,1,1,31.558003,7,"PG",0,NA
NA,"http://www.imdb.com/title/tt0071315/","Chinatown","Chinatown Best Picture","Best Picture",NA,1975,0,NA,NA,20,22,130,1,0,0,0,0,"June",0,0,1,NA,0,1,1,1,1,29.2,NA,"R",1,NA
NA,"http://www.imdb.com/title/tt0084335/","Missing","Missing Best Picture","Best Picture",NA,1983,0,NA,NA,9,15,122,1,0,1,0,0,"February",0,0,0,NA,0,1,0,0,1,14,NA,"PG",1,NA
NA,"http://www.imdb.com/title/tt0435761/","Toy Story 3","Toy Story 3 Best Picture","Best Picture",NA,2011,0,NA,NA,36,44,103,0,1,0,0,1,"June",0,0,0,0,0,1,0,0,1,415.00488,200,"G",0,NA
NA,"http://www.imdb.com/title/tt0091167/","Hannah and Her Sisters","Hannah and Her Sisters Best Picture","Best Picture",NA,1987,0,NA,NA,26,20,103,1,1,0,0,0,"February",0,0,0,NA,0,1,1,1,1,35.392203,NA,"PG-13",0,NA
NA,"http://www.imdb.com/title/tt0110877/","Il Postino: The Postman","Il Postino: The Postman Best Picture","Best Picture",NA,1996,0,NA,NA,28,15,108,1,1,1,0,0,"June",1,0,0,0,0,1,0,1,1,20.681301,3,"PG",1,NA
NA,"http://www.imdb.com/title/tt0436697/","The Queen","The Queen Best Picture","Best Picture",NA,2007,0,NA,NA,64,58,103,1,0,1,0,0,"September",0,1,0,0,0,1,0,1,1,56.441711,15,"PG-13",0,NA
NA,"http://www.imdb.com/title/tt0066011/","Love Story","Love Story Best Picture","Best Picture",NA,1971,0,NA,NA,12,13,99,1,0,0,1,0,"December",0,0,1,NA,0,1,0,1,1,106.397186,NA,"GP",0,NA
NA,"http://www.imdb.com/title/tt0167404/","The Sixth Sense","The Sixth Sense Best Picture","Best Picture",NA,2000,0,NA,NA,32,37,107,1,0,0,0,0,"August",0,0,0,0,0,1,1,1,1,293.506292,40,"PG-13",0,NA
NA,"http://www.imdb.com/title/tt0084805/","Tootsie","Tootsie Best Picture","Best Picture",NA,1983,0,NA,NA,30,23,116,1,1,0,1,0,"December",0,0,0,NA,0,1,1,1,1,177.2,21,"PG",1,NA
